    preflight: governor=performance thp=[always] mem_avail=14524MiB swap_used=599MiB gpu=17MiB,43,P8
    big tensor: per_layer_token_embd.weight 3127 MiB
    arch: qwen4exp | tensors: 1022
placement: -ot exps=CPU -ot ^(per_layer_token_embd\.weight)$=CPU
##### whittle_q2k_c0
    preflight: governor=performance thp=[always] mem_avail=14392MiB swap_used=599MiB gpu=17MiB,42,P8
whittle_q2k_c0 code    223 tok | wall 25.62 t/s | decode 29.46 t/s | prefill   37.3 t/s | accept -               | vram 1710 MiB | '```python\nfrom collections import OrderedDict\n\nc'
whittle_q2k_c0 reason  268 tok | wall 25.77 t/s | decode 29.56 t/s | prefill   44.2 t/s | accept -               | vram 1710 MiB | "Let's solve this step by step.\n\n**Setting up the"
whittle_q2k_c0 edit    300 tok | wall 18.03 t/s | decode 29.12 t/s | prefill   59.5 t/s | accept -               | vram 1710 MiB | '```python\ndef parse_records(path, sep=",", skip_'
whittle_q2k_c0 long    300 tok | wall  6.30 t/s | decode 28.56 t/s | prefill   58.9 t/s | accept -               | vram 1710 MiB | '## 6-bullet summary\n\n- The performance model is '
    telemetry[whittle_q2k_c0]: GPU util avg  77% max 100% | power avg  50W max  59W /100W | PCIe->GPU avg  1.42 max  4.84 GB/s (~13 cap) | CPU busy  335% of 1200% | DRAM read avg   6.1 max  11.1 GB/s (~38 cap)
##### whittle_q2k_c16
    preflight: governor=performance thp=[always] mem_avail=14451MiB swap_used=581MiB gpu=17MiB,51,P0
whittle_q2k_c16 code    240 tok | wall 30.18 t/s | decode 34.85 t/s | prefill   39.3 t/s | accept -               | vram 2458 MiB | '```python\nfrom collections import OrderedDict\n\nc'
whittle_q2k_c16 reason  238 tok | wall 28.89 t/s | decode 34.71 t/s | prefill   42.6 t/s | accept -               | vram 2458 MiB | "Let's solve this step by step.\n\n**Setting up the"
whittle_q2k_c16 edit    300 tok | wall 19.93 t/s | decode 34.56 t/s | prefill   58.9 t/s | accept -               | vram 2458 MiB | '```python\ndef parse_records(path, sep=",", skip_'
whittle_q2k_c16 long    300 tok | wall  6.47 t/s | decode 33.05 t/s | prefill   58.5 t/s | accept -               | vram 2458 MiB | '## 6-bullet summary\n\n- The performance model is '
    telemetry[whittle_q2k_c16]: GPU util avg  91% max 100% | power avg  57W max  81W /100W | PCIe->GPU avg  2.04 max 10.51 GB/s (~13 cap) | CPU busy  319% of 1200% | DRAM read avg   5.0 max   9.8 GB/s (~38 cap)
    0.19.549.176 I moe-cache: steps 256 | hit rate 43.4% | uploads 9318 (10118.8 MiB, 39.53 MiB/step) | evictions 8678 | warm-up uploads 1191
    0.33.246.733 I moe-cache: steps 512 | hit rate 43.5% | uploads 18053 (19604.4 MiB, 38.29 MiB/step) | evictions 17413 | warm-up uploads 1989
    0.40.633.769 I moe-cache: steps 768 | hit rate 43.9% | uploads 25910 (28136.6 MiB, 36.64 MiB/step) | evictions 25270 | warm-up uploads 1989
    1.25.304.042 I moe-cache: steps 1024 | hit rate 42.0% | uploads 37191 (40387.1 MiB, 39.44 MiB/step) | evictions 36551 | warm-up uploads 4624
    preflight: governor=performance thp=[always] mem_avail=14492MiB swap_used=578MiB gpu=17MiB,56,P0
  gsm8k/0                      ok    88 tok  34.87 t/s stop
  gsm8k/1                      ok    68 tok  34.00 t/s stop
  gsm8k/2                      ok   183 tok  35.24 t/s stop
  gsm8k/3                      BAD   52 tok  35.26 t/s stop
  gsm8k/4                      ok   114 tok  35.22 t/s stop
  gsm8k/5                      ok   265 tok  35.18 t/s stop
  gsm8k/6                      ok   110 tok  34.36 t/s stop
  gsm8k/7                      ok   218 tok  34.94 t/s stop
  gsm8k/8                      ok   249 tok  35.10 t/s stop
  gsm8k/9                      ok    75 tok  35.79 t/s stop
  gsm8k/10                     ok   138 tok  34.66 t/s stop
  gsm8k/11                     ok   117 tok  35.24 t/s stop
  gsm8k/12                     BAD  148 tok  34.82 t/s stop
  gsm8k/13                     ok   442 tok  34.41 t/s stop
  gsm8k/14                     ok   139 tok  34.11 t/s stop
  gsm8k/15                     ok   161 tok  34.61 t/s stop
  gsm8k/16                     ok    58 tok  34.07 t/s stop
